,winner,tournament_name
0,"Kramnik,V",WorldChamp2004
1,"Leko,P",WorldChamp2004
2,"Lasker, Emanuel",WorldChamp1894
3,"Carlsen, Magnus",WorldChamp2013
4,"Anand,V",FideChamp2000
5,"Shirov,A",FideChamp2000
6,"Anand,V",WorldChamp2007
7,"Karpov, Anatoly",FideChamp1993
8,"Lasker, Emanuel",WorldChamp1910b
9,"Capablanca, Jose Raul",WorldChamp1921
10,"Botvinnik, Mikhail",WorldChamp1958
11,"Karpov, Anatoly",WorldChamp1981
12,"Botvinnik, Mikhail",WorldChamp1961
13,"Karpov, Anatoly",WorldChamp1978
14,"Tal, Mihail",WorldChamp1960
15,"Botvinnik, Mikhail",WorldChamp1948
16,"Alekhine, Alexander",WorldChamp1929
17,"Alekhine, Alexander",WorldChamp1934
18,"Kasparov, Gary",WorldChamp1986
19,"Kasparov, Gary",PCAChamp1995
20,"Steinitz, William",WorldChamp1886
21,"Bronstein, David I",WorldChamp1951
22,"Botvinnik, Mikhail",WorldChamp1951
23,"Lasker, Emanuel",WorldChamp1907
24,"Steinitz, William",WorldChamp1890
25,"Anand,V",WorldChamp2008
26,"Kasimdzhanov,R",FideChamp2004
27,"Kasparov, Gary",WorldChamp1985
28,"Ponomariov,R",FideChamp2002
29,"Steinitz, William",WorldChamp1889
30,"Alekhine, Alexander",WorldChamp1937
31,"Petrosian, Tigran V",WorldChamp1963
32,"Kasparov, Gary",PCAChamp1993
33,"Karpov, Anatoly",FideChamp1996
34,"Kramnik,V",WorldChamp2006
35,"Petrosian, Tigran V",WorldChamp1966
36,"Topalov,V",FideChamp2005
37,"Fischer, Robert James",WorldChamp1972
38,"Kramnik,V",WorldChamp2000
39,"Smyslov, Vassily",WorldChamp1954
40,"Botvinnik, Mikhail",WorldChamp1954
41,"Spassky, Boris V",WorldChamp1969
42,"Smyslov, Vassily",WorldChamp1957
43,"Steinitz, William",WorldChamp1892
44,"Karpov, Anatoly",WorldChamp1984
45,"Carlsen, Magnus",WorldChamp2016
46,"Anand,V",WorldChamp2010
47,"Kasparov, Gary",WorldChamp1990
48,"Karpov, Anatoly",WorldChamp1987
49,"Kasparov, Gary",WorldChamp1987
50,"Lasker, Emanuel",WorldChamp1908
51,"Lasker, Emanuel",WorldChamp1909
52,"Lasker, Emanuel",WorldChamp1896
53,"Carlsen,M",WorldChamp2021
54,"Anand, Viswanathan",WorldChamp2012
55,"Anand,V",WorldChamp2012
56,"Gelfand,B",WorldChamp2012
57,"Euwe, Max",WorldChamp1935
58,"Lasker, Emanuel",WorldChamp1910a
59,"Schlechter, Carl",WorldChamp1910a
60,"Carlsen, Magnus",WorldChamp2014
61,"Khalifman, Alexander",FideChamp1999
62,"Anand, Viswanathan",FideChamp1998
63,"Alekhine, Alexander",WorldChamp1927
