,player,win_count
0,"Hamdouchi, Hichem",123
1,"Fridman, Daniel",112
2,"Svidler, Peter",438
3,"Alterman, Boris",106
4,"Nepomniachtchi,I",268
5,"Ivanchuk,V",714
6,"Andersson, Ulf",475
7,"Jussupow, Artur",77
8,"Piket,Je",176
9,"Van Wely, Loek",243
10,"Onischuk,Al",93
11,Peng Xiaomin,655
12,"Kacheishvili,G",126
13,"Vladimirov,E",357
14,"Luther,T",224
15,"Ivanchuk, Vassily",167
16,"Sakaev, Konstantin",35
17,"Steinitz, William",3699
18,"Carlsen,M",352
19,"Ivanov,AV",171
20,"Istratescu, Andrei",241
21,"Charbonneau,P",72
22,"Tiviakov,S",455
23,"Cvitan,O",20
24,"Karpov, Anatoly",3974
25,Gu Xiaobing,103
26,"Miladinovic, Igor",172
27,"Lerner, Konstantin Z",50
28,"Kotsur, Pavel",71
29,"Adams,Mi",1278
30,Yu Shaoteng,186
31,"Benjamin,Joe",304
32,"Benjamin, Joel",193
33,"Hernandez,Gi",48
34,"Djuric, Stefan",86
35,"Ricardi, Pablo",42
36,"Al Modiahki,M",316
37,"Goldin,A",47
38,"Aleksandrov, Aleksej",270
39,"Adianto, Utut",192
40,"Ponomariov,R",623
41,"Sarthou,G",74
42,"Gdanski,J",43
43,"Lautier, Joel",370
44,"Glek, Igor V",148
45,"Nisipeanu, Liviu Dieter",382
46,"Shipov, Sergei",119
47,"Illescas Cordoba, Miguel",54
48,"Abulhul,T",99
49,"Zvjaginsev,V",269
50,"Stefansson,H",49
51,"Ponomariov, Ruslan",270
52,"Leko,P",960
53,Xu Jun,265
54,"Kramnik, Vladimir",292
55,"Kaidanov,G",35
56,"Pina,S",194
57,"Kasimdzhanov,R",1464
58,"Solomon,K",52
59,Ye Jiangchuan,518
60,"Eingorn,V",62
61,"Serper,G",152
62,"Al Modiahki, Mohamad",57
63,"Gretarsson, Helgi Ass",79
64,"Rizouk,A",67
65,"Sadvakasov, Darmen",49
66,"Kozul,Z",346
67,"Short, Nigel D",909
68,"Portisch, Lajos",66
69,"Nielsen, Peter Heine",190
70,"Kortschnoj, Viktor",1312
71,"Nielsen,PH",214
72,"Bagheri,A",25
73,"Kindermann, Stefan",340
74,"Stepovaia Dianchenko,T",53
75,"Feldman, Vladimir",88
76,"Karlov,A",52
77,"Asrian, Karen",273
78,"Bauer, Christian",103
79,"Anand, Viswanathan",1223
80,"Cabrera,A",66
81,"Bezgodov,A",62
82,"Mohamed, Esam Ahmed Nagib",140
83,"Speelman, Jonathan S",96
84,"Akopian,V",43
85,"Wells, Peter K",45
86,"Kasimdzhanov, Rustam",54
87,"Rublevsky, Sergei",336
88,Wang Zili,65
89,"Adianto,U",364
90,"Kobese,W",146
91,"Seirawan, Yasser",148
92,"Mastrovasilis,D",61
93,"Acs,P",307
94,"Minasian,Art",270
95,"Hansen, Curt",128
96,"Sulskis,S",439
97,"Almasi, Zoltan",471
98,"Keres, Paul",667
99,"Korchnoi,V",59
100,"Zeliakov,Nugzar",17
101,"Radziewicz,I",168
102,"Hoffman,A",23
103,"Ciuksyte,D",42
104,"Hakki,I",44
105,"Cela, Altin",40
106,"Janowsky, Dawid Markelowicz",699
107,"Campora,D",168
108,"Nikolic, Predrag",70
109,"Tarrasch, Siegbert",485
110,"Elarbi,A",100
111,"Shipov,S",76
112,"Polgar, Judit",254
113,"Wohl,A",90
114,"Alekseev,Evgeny",61
115,"Kiseleva,N",74
116,"Gurevich, Dmitry",132
117,"Ehlvest, Jaan",223
118,"Tkachiev, Vladislav",433
119,"Sadler, Matthew",191
120,"Umgaev, Alexander",84
121,"Kurajica, Bojan",121
122,"Gagunashvili,M",75
123,"Beliavsky,A",481
124,"Savchenko,S",129
125,"Becerra Rivero, Julio",55
126,"Petursson, Margeir",39
127,"Gonzalez Garcia,J",37
128,"Dableo,R",35
129,"Malakhov,V",404
130,"Volokitin,A",165
131,"Vlassov,N",50
132,"Kveinys,A",109
133,"Kotronias, Vasilios",169
134,"Zelcic, Robert",162
135,"Haznedaroglu,K",54
136,"Pigusov,E",195
137,"Nakamura,H",359
138,"Gurevich,D",25
139,"Kadhi,H",89
140,"Radjabov,T",370
141,"Piket, Jeroen",158
